accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.5438895225524902,0.8049594163894653,0.791703462600708,0.4827888309955597,9.999999747378752e-05,1
0.8019296526908875,0.4401171803474426,0.9214474558830261,0.2807858884334564,9.999999747378752e-05,2
0.8857359290122986,0.2995217442512512,0.9514563083648682,0.19725267589092255,9.999999747378752e-05,3
0.9245175719261169,0.22858136892318726,0.9638128876686096,0.15415479242801666,9.999999747378752e-05,4
0.938138484954834,0.19283321499824524,0.9682259559631348,0.12860597670078278,9.999999747378752e-05,5
0.9455164670944214,0.17086061835289001,0.9735216498374939,0.1106967031955719,9.999999747378752e-05,6
0.9502459168434143,0.15208767354488373,0.9735216498374939,0.09861859679222107,9.999999747378752e-05,7
0.9570564031600952,0.13896064460277557,0.9752868413925171,0.08907216042280197,9.999999747378752e-05,8
0.9555429220199585,0.1287425011396408,0.9752868413925171,0.08195740729570389,9.999999747378752e-05,9
0.9595156908035278,0.12034492939710617,0.9770520925521851,0.07605674862861633,9.999999747378752e-05,10
0.9600832462310791,0.11326868832111359,0.9788172841072083,0.07136664539575577,9.999999747378752e-05,11
0.966326117515564,0.10516468435525894,0.9779346585273743,0.06761310249567032,9.999999747378752e-05,12
0.9674612283706665,0.1016729548573494,0.9796999096870422,0.06413304805755615,9.999999747378752e-05,13
0.9699205160140991,0.09649688750505447,0.9796999096870422,0.06093239039182663,9.999999747378752e-05,14
0.9702988862991333,0.09457091987133026,0.9796999096870422,0.05837836116552353,9.999999747378752e-05,15
